"name"	"effective_year"	"region"	"comment"	"participant"	"initiator"	"id"	"photo"	"position"
"Абайдильдин Талгатбек Жамшитович"	"2005—2017"	"ВКО"	"Избран от Восточно-Казахстанской области в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Абдикеров Рыскали Калиакбарович"	"2017—"	"Карагандиская"	"Избран от Карагандинской области в 2017 году[6]"	34	8	"/ru-RU/blog/5/biography"	"/storage/512d00f602fe4f3c961457d30250d28a.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Абыкаев Нуртай Абыкаевич"	"2004—2007, 2015—2017"	"Указ"	"Назначен указом президента 25 декабря 2015 года[7]"	0	0	NA	NA	NA
"Адильбеков Даурен Зекенович"	"2017—"	"Акмолинская"	"Избран от Акмолинской области в 2017 году[6]"	7	6	"/ru-RU/blog/32/biography"	"/storage/f792f97d80504b4e8640f3dcc03e1d91.jpg?w=200"	"Секретарь Комитета по экономической политике, инновационному развитию и предпринимательству"
"Адырбеков Икрам Адырбекович"	"2011—2017"	"Указ"	"Назначен указом президента в 2011 году[8]"	0	0	NA	NA	NA
"Айтаханов Куаныш Айтаханулы"	"2005—2017"	"ЮКО"	"Избран от Южно-Казахстанской (сейчас — Туркестанской) области в 2005 и 2011 годах[9]"	0	0	NA	NA	NA
"Айтимова Бырганым Сариевна"	"1996, 2013—2019"	"Указ"	"Назначена указом президента в 2013 году[10]"	21	12	NA	NA	NA
"Айтпаева Сауле Муханбедиановна"	"2017—"	"Указ"	"Назначена указом президента в 2017 году[11]"	21	12	"/ru-RU/blog/50/biography"	"/storage/bce276dd89444d3991cca93c740e141f.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Акимов Рашит Каиржанович"	"2014—"	"Акмолинская"	"Избран от Акмолинской области в 2014 году[12]"	19	1	"/ru-RU/blog/52/biography"	"/storage/6b8b15b655b340eca2a6cbb6eac03d48.jpg?w=200"	"Секретарь Комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Акылбай Серик Байсеитулы"	"2005—2017"	"Карагандиская"	"Избран от Карагандинской области в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Алтынбаев Мухтар Капашевич"	"2010—2017"	"Указ"	"Назначен указом президента 8 апреля 2010 года[13]"	0	0	NA	NA	NA
"Астаев Ертаргын Какимбекович"	"2011—2017"	"Жамбылская"	"Избран от Жамбылской области в 2011 году[5]"	0	0	NA	NA	NA
"Ахметов Рашит Сайранович"	"1999—2017"	"ЗКО"	"Избран от Западно-Казахстанской области в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Бактиярулы Мурат"	"2011—"	"Кызылординская"	"Избран от Кызылординской области в 2011 и 2017 годах[6]"	21	10	"/ru-RU/blog/144/biography"	"/storage/ea5b7139bea84a75bbe53837202d23a0.png?w=200"	"Председатель комитета по социально-культурному развитию и науке"
"Бейсенбаев Аскар Асанович"	"2013—2019"	"Указ"	"Назначен указом президента в 2013 году[10]"	37	2	NA	NA	NA
"Бекназаров Бектас Абдыханович"	"2014—"	"Указ"	"Назначен указом президента 11 августа 2014 года[14]"	1	0	"/ru-RU/blog/170/biography"	"/storage/f55b4a42e3e5441690abc5c76f6e16dc.jpg?w=200"	"Заместитель Председателя Сената Парламента Республики Казахстан"
"Бекназаров Нурлан Кудиярович"	"2018—"	"Шымкент"	"Избран от города Шымкента в 2018 году[15]"	6	0	"/ru-RU/blog/921/biography"	"/storage/b5ab522a76c04845a83b6788b5f3e948.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Бектаев Али Абдикаримович"	"2014—"	"ЮКО"	"Избран от Южно-Казахстанской (сейчас — Туркестанской) области в 2014 году[12]"	13	11	"/ru-RU/blog/172/biography"	"/storage/252f0eb5a1e6493e95be4cc6e1344394.jpg?w=200"	"Председатель комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Бектурганов Серик Чингисович"	"2014—"	"Костанайская"	"Избран от Костанайской области в 2014 году[12]"	17	1	"/ru-RU/blog/177/biography"	"/storage/2ec410b092334fceba5398ed959af59a.jpg?w=200"	"Секретарь Комитета по социально-культурному развитию и науке"
"Бижанов Ахан Хусаинович"	"2005—2017"	"Алматы"	"Избран от города Алматы в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Билялов Серик Султангазинович"	"2013—"	"СКО"	"Избран от Северо-Казахстанской области в 2013[16] и 2014 годах"	0	0	NA	NA	NA
"Бобров Владимир Яковлевич"	"2012—2016"	"Указ"	"Назначен указом президента[17]"	0	0	NA	NA	NA
"Бортник Михаил Михайлович"	"2008—"	"Мангистауская"	"Избран от Мангистауской области в 2008 и 2014 годах[12]"	31	7	"/ru-RU/blog/208/biography"	"/storage/123b04f1a77c42afac484d91202dacf7.jpg?w=200"	"Член комитета по экономической политике, инновационному развитию и предпринимательству"
"Волков Владимир Васильевич"	"2017—"	"Указ"	"Назначен указом президента 13 июля 2017 года[11]"	20	19	"/ru-RU/blog/232/biography"	"/storage/39d42742b32d4206ad846b72a6012516.jpg?w=200"	"Председатель комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Громов Сергей Николаевич"	"2013—2019"	"Указ"	"Назначен указом президента[10]"	0	0	NA	NA	NA
"Джаксыбеков Серик Рыскельдинович"	"2014—"	"Астана"	"Избран от города Астаны (сейчас — Нур-Султан) в 2014 году[12]"	23	2	"/ru-RU/blog/254/biography"	"/storage/bbb78c7734904e2da4e63b43df9f82d3.jpg?w=200"	"Председатель комитета по экономической политике, инновационному развитию и предпринимательству"
"Джумагазиев Мухтар Сабирович"	"2017—"	"Актюбинская"	"Избран от Актюбинской области в 2017 году[6]"	21	5	"/ru-RU/blog/269/biography"	"/storage/c1e080adb7a74df1a4b569f6182acd76.png?w=200"	"Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Дюсембаев Гумар Ислямович"	"2017—"	"Атырауская"	"Избран от Атырауской области в 2017 году[6]"	0	0	"/ru-RU/blog/929/biography"	"/storage/ea19e3946b5f48709aff1469b442b058.jpg?w=200"	"Член комитета по финансам и бюджету"
"Еламанов Бекмырза Кайыпулы"	"2014—"	"Кызылординская"	"Избран от Кызылординской области в 2014 году"	21	4	"/ru-RU/blog/295/biography"	"/storage/89134bd542ef49e0a06e52d21dce1b34.jpg?w=200"	"Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Енсегенов Сарсенбай Курманулы"	"2008—"	"Атырауская"	"Избран от Атырауской области в 2008 и 2014 годах[12]"	37	20	"/ru-RU/blog/303/biography"	"/storage/01867f8763954a3ab514316b40866ffd.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Ергалиев Жабал Ергалиевич"	"2011—2017"	"Акмолинская"	"Избран от Акмолинской области в 2011 году"	0	0	NA	NA	NA
"Ершов Сергей Михайлович"	"2014—"	"Карагандинская"	"Избран от Карагандинской области в 2014 году[12]"	21	2	"/ru-RU/blog/316/biography"	"/storage/f675fb1ba80d4f868d7047b17b19c04c.jpg?w=200"	"Член комитета по социально-культурному развитию и науке"
"Жолдасбаев Муратбай Сматаевич"	"2014—"	"Жамбылская"	"Избран от Жамбылской области в 2014 году[12]"	31	3	"/ru-RU/blog/343/biography"	"/storage/9e4ad35ac4a146c596a14eac2d2db800.jpg?w=200"	"Член комитета по экономической политике, инновационному развитию и предпринимательству"
"Жумагулов Бакытжан Турсынович"	"2017—"	"Указ"	"Назначен указом президента[11]"	22	1	"/ru-RU/blog/356/biography"	"/storage/1b978ea5d42642e385ba1a5ecc1ef6df.jpg?w=200"	"Член комитета по социально-культурному развитию и науке"
"Жусип Нурторе Байтелесович"	"2019—"	"Указ"	"Назначен указом президента в 2019 году[18]"	0	0	"/ru-RU/blog/932/biography"	"/storage/3a995501143f49be8ebe811ddfe90050.jpg?w=200"	"Член комитета по социально-культурному развитию и науке"
"Ищанов Кайрат Кыдрбаевич"	"2005—2017"	"Атырауская"	"Избран от Атырауской области в 2005 и 2011 годах[5]"	0	0	NA	NA	NA
"Калетаев Дархан Аманович"	"2016—2018"	"Указ"	"Назначен указом президента[19]. 4 апреля 2018 года был назначен министром по делам религий и гражданского общества[20]"	11	1	NA	NA	NA
"Капбарова Айгуль Жарылкасыновна"	"2019—"	"Шымкент"	"Избрана от города Шымкента в 2019 году[21]"	0	0	"/ru-RU/blog/937/biography"	"/storage/96d360a14d6543438a80595b6f2e16f1.jpg?w=200"	"Член комитета по социально-культурному развитию и науке"
"Киинов Ляззат Кетебаевич"	"2013—2017"	"Указ"	"Назначен указом президента[10]"	0	0	NA	NA	NA
"Ким Георгий Владимирович"	"2013—2019"	"Указ"	"Назначен указом президента[10]"	25	3	NA	NA	NA
"Кожамжаров Кайрат Пернешович"	"2019—"	"Указ"	"Назначен указом президента[22]"	4	2	"/ru-RU/blog/926/biography"	"/storage/b5ca62aab9f44865951661f08db3eb9c.jpg?w=200"	"Член комитета по международным отношениям, обороне и безопасности"
"Кубенов Манат Шарапиденович"	"2014—"	"Павлодарская"	"Избран от Павлодарской области в 2014 году[12]"	0	0	NA	NA	NA
"Кузеков Асхат Сайпиевич"	"2011—2017"	"Павлодарская"	"Избран от Павлодарской области в 2011 году[5]"	0	0	NA	NA	NA
"Кул-Мухаммед Мухтар Абрарулы"	"1999—2001, 2018—"	"Указ"	"Назначен указом президента в 2018[23] и 2019 годах[24]"	16	0	"/ru-RU/blog/520/biography"	"/storage/ee3177a9076b4b5b8867be703c0ea464.jpg?w=200"	"Председатель комитета по международным отношениям, обороне и безопасности"
"Куртаев Алимжан Сейтжанович"	"2017—"	"ЮКО"	"Избран от Южно-Казахстанской (сейчас — Туркестанской) области в 2017 году[6]"	21	10	"/ru-RU/blog/524/biography"	"/storage/ab6054d39b5e4309b053c397aaae6038.jpg?w=200"	"Член комитета по экономической политике, инновационному развитию и предпринимательству"
"Куставлетов Дулат Рашитович"	"2013—2019"	"Указ"	"Назначен указом президента[10]"	22	8	NA	NA	NA
"Кылышбаев Нурлан Наурызович"	"2016—"	"Алматиская"	"Избран от Алматинской области в 2016 и 2017 годах[6]"	20	3	"/ru-RU/blog/533/biography"	"/storage/a5dbc8a3e8e4457695ff8b7d8d6b63e4.jpg?w=200"	"Член комитета по финансам и бюджету"
"Лукин Андрей Иванович"	"2019—"	"Указ"	"Назначен указом президента[24]"	1	1	"/ru-RU/blog/936/biography"	"/storage/537dfc554d7a4fd28c7f5870ad605021.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Мамытбеков Едил Куламкадырович"	"2017—"	"Астана"	"Избран от города Астаны (сейчас — Нур-Султан) в 2017 году[6]"	25	11	"/ru-RU/blog/552/biography"	"/storage/66827ead2bf5475ab3632a0e8ba3ee97.jpg?w=200"	"Член комитета по экономической политике, инновационному развитию и предпринимательству"
"Мукаев Ербулат Рахметович"	"2008—"	"ЗКО"	"Избран от Западно-Казахстанской области в 2008 и 2014 годах[12]"	22	4	"/ru-RU/blog/572/biography"	"/storage/fff9c80c1e16458db9cc1cec6cc10446.jpg?w=200"	"Секретарь Комитета по финансам и бюджету"
"Мукашев Тулеубек Тулеуович"	"2014—"	"Алматы"	"Избран от города Алматы в 2014 году[12]"	25	6	"/ru-RU/blog/580/biography"	"/storage/00a835a5320a46cea52b5f3c911f415f.jpg?w=200"	"Секретарь Комитета по международным отношениям, обороне и безопасности"
"Мусабаев Талгат Амангельдиевич"	"2017—"	"Указ"	"Назначен указом президента[11]"	24	4	"/ru-RU/blog/584/biography"	"/storage/23ddcaace56a4c4cb042a8647d4643ae.jpg?w=200"	"Член комитета по международным отношениям, обороне и безопасности"
"Мусаханов Ансар Турсунканович"	"2014—"	"Алматиская"	"Избран от Алматинской области в 2014 году[12]"	18	6	"/ru-RU/blog/586/biography"	"/storage/250af9277f9c45bf9fe70f739c3fa383.jpg?w=200"	"Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Мусин Дуйсенгазы Магауянович"	"2017—"	"ВКО"	"Избран от Восточно-Казахстанской области в 2017 году[6]"	18	6	"/ru-RU/blog/588/biography"	"/storage/13309eedd5244c27a3c81e4460ad1d12.jpg?w=200"	"Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Назарбаева Дарига Нурсултановна"	"2017—"	"Указ"	"Назначена указом президента в 2017 и 2019 годах[24]. С 20 марта 2019 года — председатель сената[25]"	18	6	"/ru-RU/blog/601/biography"	"/storage/815b85acf71f43e891c50a86825c8e5c.jpg?w=200"	"Председатель Сената Парламента Республики Казахстан"
"Нукетаева Динар Жусупалиевна"	"2017—"	"Алматы"	"Избрана от города Алматы в 2017 году[6]"	26	6	"/ru-RU/blog/617/biography"	"/storage/b954c69f8b7f4ed18aa6002fbc4e3eae.jpg?w=200"	"Член комитета по социально-культурному развитию и науке"
"Нуралиев Абдалы Токбергенович"	"2017—"	"Жамбылская"	"Избран от Жамбылской области в 2017 году[6]"	17	7	"/ru-RU/blog/618/biography"	"/storage/301dadb794cf4d02b5a41b9ebe33b9d2.jpg?w=200"	"Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Нургалиев Женис Мирасович"	"2010—"	"Костанайская"	"Избран от Костанайской области в 2010 и 2017 годах[6]"	17	0	"/ru-RU/blog/623/biography"	"/storage/6c322320ca0c400c985ec8b2405a587a.png?w=200"	"Член комитета по финансам и бюджету"
"Нуржигитова Дана Омирбаевна"	"2019—"	"Указ"	"Назначена указом президента[24]"	3	0	"/ru-RU/blog/930/biography"	"/storage/071046aa572b4ce0bd8862401cd31880.jpg?w=200"	"Член комитета по международным отношениям, обороне и безопасности"
"Нурсипатов Нуржан Нурланбекович"	"2017—"	"Павлодарская"	"Избран от Павлодарской области в 2017 году[6]"	20	10	"/ru-RU/blog/635/biography"	"/storage/4093dabb64d247a9b28fb27dd3e0345d.jpg?w=200"	"Член комитета по международным отношениям, обороне и безопасности"
"Оразалин Нурлан Мыркасымович"	"2013—2016"	"Указ"	"Назначен указом президента[10]"	0	0	NA	NA	NA
"Перепечина Ольга Валентиновна"	"2014—"	"СКО"	"Избрана от Северо-Казахстанской области в 2014 году[12]"	10	6	"/ru-RU/blog/663/biography"	"/storage/c41f403d1b3f421a997b4ee29035329e.jpg?w=200"	"Председатель комитета по финансам и бюджету"
"Плотников Сергей Викторович"	"2008—"	"ВКО"	"Избран от Восточно-Казахстанской области в 2008 и 2014 годах[12]"	18	4	"/ru-RU/blog/671/biography"	"/storage/d7683f7ec8ff468a88fa75f066194ea2.jpg?w=200"	"Член комитета по финансам и бюджету"
"Полторабатько Людмила Григорьевна"	"2011—2017"	"Указ"	"Назначена указом президента[26]"	0	0	NA	NA	NA
"Редкокашин Владимир Николаевич"	"2011—2017"	"Астана"	"Избран от города Астаны (сейчас — Нур-Султан) в 2011 году[5]"	0	0	NA	NA	NA
"Сагиндыков Елеусин Наурызбаевич"	"2002—2004, 2011—2017"	"Актюбинская"	"Избран от Актюбинской области в 2011 году[5]"	0	0	NA	NA	NA
"Сатыбалды Дархан Амангельдиевич"	"2018—2019"	"Шымкент"	"Избран от города Шымкента в 2018 году[15]. 18 марта 2019 года был назначен чрезвычайным и полномочным послом в Узбекистане[27]"	7	0	NA	NA	NA
"Сафинов Канатбек Бейсенбекович"	"2019—"	"Указ"	"Назначен указом президента[24]"	0	0	"/ru-RU/blog/934/biography"	"/storage/f86121d4d6bf4b5c8ed47544fbd1687c.jpg?w=200"	"Секретарь комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Сулеймен Ляззат Жанылыскызы"	"2019—"	"Указ"	"Назначена указом президента[24]"	1	0	"/ru-RU/blog/933/biography"	"/storage/40983dd8a212491293a6d1b98732ae88.jpg?w=200"	"Член комитета по конституционному законодательству, судебной системе и правоохранительным органам"
"Султанов Ерик Хамзинович"	"2017—"	"СКО"	"Избран от Северо-Казахстанской области в 2017 году[6]"	26	4	"/ru-RU/blog/770/biography"	"/storage/48bc251ba4304e768ef227df74cb8c12.jpg?w=200"	"Член комитета по экономической политике, инновационному развитию и предпринимательству"
"Тагимов Марат Мурзагалиевич"	"2014—"	"Актюбинская"	"Избран от Актюбинской области в 2014 году[28]"	32	6	"/ru-RU/blog/788/biography"	"/storage/2d6aba40bc12452686c1d53e2326e9f5.jpg?w=200"	"Член комитета по аграрным вопросам, природопользованию и развитию сельских территорий"
"Токаев Касым-Жомарт Кемелевич"	"2007—2011, 2013—2019"	"Указ"	"Назначен указом президента. С 11 января 2007 по 15 апреля 2011 года и с 16 октября 2013 по 20 марта 2019 года — председатель сената[29]. 20 марта 2019 года вступил в должность президента Казахстана как председатель сената парламента после отставки Нурсултана Назарбаева[30]"	0	0	NA	NA	NA
"Турегалиев Нариман"	"2017—"	"ЗКО"	"Избран от Западно-Казахстанской области в 2017 году[6]"	26	12	"/ru-RU/blog/820/biography"	"/storage/3ded861bc406403db5f7c022600b1803.jpg?w=200"	"Член комитета по социально-культурному развитию и науке"
"Тусупбеков Рашид Толеутаевич"	"2015—2019"	"Указ"	"Назначен указом президента[31]"	27	0	NA	NA	NA
"Чельпеков Бактыбай Акбердыевич"	"2011—"	"Мангистауская"	"Избран от Мангистауской области в 2011 и 2017 годах[6]"	11	2	"/ru-RU/blog/878/biography"	"/storage/61b7607414694c3f84a051d9a0653d43.jpg?w=200"	"Член комитета по финансам и бюджету"
"Шакиров Аскар Оразалиевич"	"2019—"	"Указ"	"Назначен указом президента в 2019 году[18]"	0	0	"/ru-RU/blog/935/biography"	"/storage/ed139ce300004573808cbd7f80ef5401.jpg?w=200"	"Заместитель Председателя Сената Парламента Республики Казахстан"
